higher_education, Ανώτατη εκπαίδευση
police_units, Αστυνομία
tax_offices, Εφορίες
hospitals, Νοσοκομεία
pension_funds, Ασφαλιστικά ταμεία
local_government, Τοπική αυτοδιοίκηση
central_government_and_enterprises, Οργανισμοί και ΔΕΚΟ
